"","year","team","offense","offense_year","defense","defense_year","overall_score"
"1","1961","BAL",1.50172493301859,1.41615926498504,1.44156164702014,1.33699076803567,0.139331782947817
"2","1961","BOS",1.49734558161695,1.41496223646766,1.44534447326203,1.52540189759856,-0.0584385527759732
"3","1961","CHA",1.46368038685933,1.50966673723119,1.44504678157895,1.47999431887082,0.0483060236407544
"4","1961","CHN",1.43695428638215,1.48635027577085,1.47042294837365,1.55529945212168,-0.102417838342336
"5","1961","CIN",1.49710652188885,1.48516946179822,1.46893835609505,1.4271192163616,0.086218411230417
"6","1961","CLE",1.47748478422865,1.48193430223282,1.46859070630266,1.49385219556335,-0.00302381540454011
"7","1961","DET",1.48516803711232,1.55213182346501,1.47895552081643,1.40439974979814,0.153944589962761
"8","1961","KC1",1.4219465753305,1.46302299169462,1.48366334483586,1.56228168466066,-0.160975462471409
"9","1961","LAA",1.45178918456789,1.52755557998069,1.46013545452584,1.54705614243243,-0.0278468324096854
"10","1961","LAN",1.4893489589928,1.55921209993831,1.42619608330932,1.57022269368484,0.0521422819369439
"11","1961","MIN",1.46303345789287,1.44849426510989,1.46063626508506,1.51573290277953,-0.0648414448618295
"12","1961","MLN",1.50063333743389,1.48833396342564,1.46863771822669,1.45844043713017,0.0618891455026631
"13","1961","NYA",1.52752539678707,1.5145012234388,1.44011112622744,1.39286624767221,0.20904924632623
"14","1961","PHI",1.46717377168592,1.38048631666434,1.49278292441125,1.55836900820426,-0.203491844265248
"15","1961","PIT",1.46548718762009,1.49896217702967,1.48003246333492,1.46869279442318,0.015724106891648
"16","1961","SFN",1.5012256730043,1.55730562379851,1.48278843987758,1.46173859517192,0.114004261753313
"17","1961","SLN",1.49260965609571,1.48327313301053,1.44673262987299,1.47636947014809,0.0527806890851625
"18","1961","WS2",1.40854551133684,1.4338106997655,1.47386236311541,1.51575146801603,-0.147257620029103
"19","1962","BAL",1.50172493301859,1.39755274823131,1.44156164702014,1.44901867971579,0.00869735451397213
"20","1962","BOS",1.49734558161695,1.41586407527216,1.44534447326203,1.50844911322491,-0.0405839295978252
"21","1962","CHA",1.46368038685933,1.46153677847227,1.44504678157895,1.41575465952714,0.0644157242255115
"22","1962","CHN",1.43695428638215,1.40156834762345,1.47042294837365,1.54814360589073,-0.18004392025878
"23","1962","CIN",1.49710652188885,1.53530125661124,1.46893835609505,1.44042489644465,0.123044525960388
"24","1962","CLE",1.47748478422865,1.43300039740627,1.46859070630266,1.4851844733522,-0.0432899980199375
"25","1962","DET",1.48516803711232,1.49284273050157,1.47895552081643,1.43509718629879,0.063958060498666
"26","1962","HOU",1.46228686951763,1.37571327600267,1.49688055703132,1.4860814090083,-0.144961820519315
"27","1962","KC1",1.4219465753305,1.5311478538734,1.48366334483586,1.54691784089046,-0.07748675652243
"28","1962","LAA",1.45178918456789,1.50243847804518,1.46013545452584,1.47110487345412,0.0229873346331138
"29","1962","LAN",1.4893489589928,1.60466261704524,1.42619608330932,1.52102837195268,0.14678712077604
"30","1962","MIN",1.46303345789287,1.52977853097115,1.46063626508506,1.45284190489466,0.0793338188842916
"31","1962","MLN",1.50063333743389,1.47768105192481,1.46863771822669,1.44461054089139,0.0650661302406146
"32","1962","NYA",1.52752539678707,1.52341943289125,1.44011112622744,1.47984981131001,0.130983892140871
"33","1962","NYN",1.45987057502284,1.44217143997519,1.46590914849365,1.70857594936726,-0.272443082862878
"34","1962","PHI",1.46717377168592,1.47315145172323,1.49278292441125,1.51056596938656,-0.0630236703886657
"35","1962","PIT",1.46548718762009,1.47432894227326,1.48003246333492,1.38778042666116,0.072003239897263
"36","1962","SFN",1.5012256730043,1.61173771155915,1.48278843987758,1.46124262297945,0.168932321706416
"37","1962","SLN",1.49260965609571,1.51426807552992,1.44673262987299,1.44575502156289,0.114390080189756
"38","1962","WS2",1.40854551133684,1.41214055774922,1.47386236311541,1.45430080597607,-0.107477100005413
"39","1963","BAL",1.50172493301859,1.41324044525785,1.44156164702014,1.41098580900796,0.0624179222483354
"40","1963","BOS",1.49734558161695,1.39795504478945,1.44534447326203,1.47553436325947,-0.025578210115099
"41","1963","CHA",1.46368038685933,1.45635548313582,1.44504678157895,1.30599649980627,0.168992588609933
"42","1963","CHN",1.43695428638215,1.37077851155746,1.47042294837365,1.33513116718848,0.00217868237748009
"43","1963","CIN",1.49710652188885,1.43873099707851,1.46893835609505,1.37602661209036,0.0908725507819463
"44","1963","CLE",1.47748478422865,1.40910771158907,1.46859070630266,1.46343597989158,-0.0454341903765116
"45","1963","DET",1.48516803711232,1.46443469997724,1.47895552081643,1.46781597450954,0.00283124176359362
"46","1963","HOU",1.46228686951763,1.26948962394258,1.49688055703132,1.44401932289729,-0.209123386468393
"47","1963","KC1",1.4219465753305,1.41893131491714,1.48366334483586,1.43794279068894,-0.0807282452771636
"48","1963","LAA",1.45178918456789,1.4067214835621,1.46013545452584,1.44474045522644,-0.0463652416222895
"49","1963","LAN",1.4893489589928,1.46938605540578,1.42619608330932,1.39802548295383,0.134513448135428
"50","1963","MIN",1.46303345789287,1.53046089117128,1.46063626508506,1.36886775797295,0.16399032600614
"51","1963","MLN",1.50063333743389,1.47869425027248,1.46863771822669,1.4169075619837,0.0937823074959852
"52","1963","NYA",1.52752539678707,1.45170518998873,1.44011112622744,1.34924900230803,0.189870458240331
"53","1963","NYN",1.45987057502284,1.34562999566526,1.46590914849365,1.59174249608517,-0.25215107389072
"54","1963","PHI",1.46717377168592,1.45457613367068,1.49278292441125,1.35490866555123,0.0740583153941237
"55","1963","PIT",1.46548718762009,1.37973857566606,1.48003246333492,1.38482659416243,-0.0196332942112072
"56","1963","SFN",1.5012256730043,1.54388331001738,1.48278843987758,1.46265802427474,0.0996625188693585
"57","1963","SLN",1.49260965609571,1.55423530250298,1.44673262987299,1.45581182691369,0.144300501812009
"58","1963","WS2",1.40854551133684,1.42523529209309,1.47386236311541,1.57916352224141,-0.219245081926892
"59","1964","BAL",1.50172493301859,1.44244088771335,1.44156164702014,1.3510244269195,0.151579746792299
"60","1964","BOS",1.49734558161695,1.41856513557882,1.44534447326203,1.56368844242273,-0.0931221984889841
"61","1964","CHA",1.46368038685933,1.40887439730852,1.44504678157895,1.24985016984253,0.177657832746367
"62","1964","CHN",1.43695428638215,1.45351945714907,1.47042294837365,1.48572242326316,-0.0656716281055942
"63","1964","CIN",1.49710652188885,1.4289216230668,1.46893835609505,1.32480371406705,0.132286074793544
